National_Basketball_Association,country_of_citizenshipLabel,US_OR_NOT,National_Basketball_AssociationLabel,work_period__start_,
http://www.wikidata.org/entity/Q3535728,United States of America,1,Jerry Nagel,1949,1
http://www.wikidata.org/entity/Q3541220,United States of America,1,Ed Leede,1949,1
http://www.wikidata.org/entity/Q3563535,United States of America,1,Jim Nolan,1949,1
http://www.wikidata.org/entity/Q1283890,United States of America,1,Jack Kerris,1949,1
http://www.wikidata.org/entity/Q3930616,United States of America,1,Ray Corley,1949,1
http://www.wikidata.org/entity/Q3639961,United States of America,1,Bill Closs,1949,1
http://www.wikidata.org/entity/Q3641293,United States of America,1,Bob Evans,1949,1
http://www.wikidata.org/entity/Q3641301,United States of America,1,Bob Harris,1949,1
http://www.wikidata.org/entity/Q1448496,United States of America,1,Joe Mullaney,1949,1
http://www.wikidata.org/entity/Q4018609,United States of America,1,Wayne See,1949,1
http://www.wikidata.org/entity/Q4120804,United States of America,1,Jack Parkinson,1949,1
http://www.wikidata.org/entity/Q4121303,United States of America,1,John Pritchard,1949,1
http://www.wikidata.org/entity/Q5487769,United States of America,1,Frank Kudelka,1949,1
http://www.wikidata.org/entity/Q7001074,United States of America,1,Howie Janotta,1949,1
http://www.wikidata.org/entity/Q7001358,United States of America,1,Al Miksis,1949,1
http://www.wikidata.org/entity/Q312643,United States of America,1,Bob Cousy,1950,1
http://www.wikidata.org/entity/Q505336,United States of America,1,Bill Sharman,1950,1
http://www.wikidata.org/entity/Q1606707,United States of America,1,Dick Schnittker,1950,1
http://www.wikidata.org/entity/Q1606800,United States of America,1,Joe Hutton,1950,1
http://www.wikidata.org/entity/Q1606842,United States of America,1,Joe McNamee,1950,1
http://www.wikidata.org/entity/Q456766,United States of America,1,Paul Arizin,1950,1
http://www.wikidata.org/entity/Q1616819,United States of America,1,Wally Osterkorn,1950,1
http://www.wikidata.org/entity/Q3718845,United States of America,1,Ed Gayda,1950,1
http://www.wikidata.org/entity/Q3808376,United States of America,1,Jim Riffey,1950,1
http://www.wikidata.org/entity/Q1708702,United States of America,1,Ken Murray,1950,1
